Lane_N_Count,Lane_S_Count,Lane_E_Count,Lane_W_Count,Congestion_N,Congestion_S,Congestion_E,Congestion_W,Current_Green_Lane,Green_Timer_Remaining,Event_Type,Event_Lane,Congestion_Level,Optimal_Action,Signal_Duration
37,32,23,18,77.4,76.9,91.7,79,S,24,Normal,None,Severe,GREEN_E,56
23,12,28,15,75.4,52.2,68.9,48.3,S,11,Ambulance,N,High,GREEN_N,35
21,32,21,29,66.1,76.6,75.2,71.2,W,15,Normal,None,High,GREEN_S,49
11,14,14,7,51.2,27.5,39.5,29.3,E,17,Breakdown,S,Moderate,GREEN_N,42
10,19,12,18,58.7,66.4,72,53.2,S,29,Normal,None,High,GREEN_E,46
9,10,6,7,38.1,27.4,50.6,22.5,W,14,Ambulance,E,Moderate,GREEN_E,35
12,23,14,27,46.7,56.5,64.9,58.3,W,29,Normal,None,High,GREEN_E,49
17,18,15,8,81.8,66.9,54,52,E,39,Normal,None,High,GREEN_N,49
29,42,32,25,71.5,81.9,76.1,92.3,E,71,Normal,None,Severe,GREEN_W,72
9,13,15,6,34.9,48.5,37.8,20.4,S,31,Normal,None,Moderate,GREEN_S,49
19,31,28,40,98.2,83.5,73.9,78.5,N,5,Ambulance,N,Severe,GREEN_N,35
35,33,47,54,100,100,100,100,E,9,Ambulance,S,Severe,GREEN_S,35
6,13,14,3,22.8,35,37.9,52.7,W,13,Ambulance,W,Moderate,GREEN_W,35
24,9,25,26,65.4,44,58.2,74.3,S,1,Ambulance,W,High,GREEN_W,35
38,29,37,33,78.7,70.9,84.5,70.7,E,64,Normal,None,Severe,GREEN_E,70
5,3,1,6,32.5,40.4,22.5,34.4,E,15,Normal,None,Moderate,GREEN_S,34
47,44,45,54,100,100,95.5,100,S,24,Ambulance,W,Severe,GREEN_W,35
22,29,18,29,78.1,77.8,67.4,83.6,E,18,Breakdown,E,Severe,GREEN_W,65
3,7,13,13,13.1,54.3,45.5,39.8,E,21,Ambulance,S,Moderate,GREEN_S,35
43,36,55,43,100,89.9,100,95.1,W,32,Ambulance,N,Severe,GREEN_N,35
9,22,21,8,54.2,65.7,56.6,47.2,E,8,Normal,None,Moderate,GREEN_S,50
18,21,26,28,50.9,69.1,62.2,51.7,E,21,Normal,None,High,GREEN_S,65
25,20,18,28,71.3,72.3,66,76.1,W,8,Breakdown,N,High,GREEN_W,54
34,40,22,23,73.7,80.7,80.2,90.6,W,21,Ambulance,W,Severe,GREEN_W,35
21,22,24,11,53,61.1,53.8,45,S,26,Normal,None,Moderate,GREEN_S,39
19,28,39,25,71.7,72.7,73.7,74.9,N,5,Normal,None,High,GREEN_W,51
44,37,50,43,97.3,99.9,96.3,100,N,59,Breakdown,E,Severe,GREEN_W,78
50,38,54,55,100,90.2,100,96.8,N,50,Breakdown,S,Severe,GREEN_E,62
26,13,25,8,60.3,56.1,53.7,66.2,N,1,Ambulance,W,High,GREEN_W,35
17,14,16,18,66.1,54.2,55.2,54.2,S,5,Normal,None,High,GREEN_N,59
28,27,21,23,73.7,49.8,60.5,61.4,W,55,Breakdown,W,High,GREEN_N,63
12,26,16,15,56.1,58,51,61.4,N,13,Ambulance,W,High,GREEN_W,35
42,46,49,36,98.3,100,100,100,W,12,Ambulance,W,Severe,GREEN_W,35
28,22,9,25,56.9,56.4,68.7,53.2,N,30,Ambulance,E,High,GREEN_E,35
1,3,5,7,12,21.7,49.4,37.1,W,32,Ambulance,E,Low,GREEN_E,35
32,30,18,24,73.5,80.3,95.1,78.1,S,16,Normal,None,Severe,GREEN_E,80
54,48,43,48,100,93.8,100,95.7,S,30,Normal,None,Severe,GREEN_E,69
14,10,11,8,34.9,29.2,26.4,31.6,S,28,Ambulance,N,Low,GREEN_N,35
21,8,26,24,63.2,42.6,58.2,77.2,N,6,Ambulance,W,High,GREEN_W,35
13,4,5,12,45.8,25.6,21.2,51.4,E,16,Normal,None,Moderate,GREEN_W,33
12,13,12,7,26.1,33.3,25.1,42.9,N,45,Breakdown,S,Moderate,GREEN_W,50
33,39,55,53,92.5,91,100,100,E,78,Normal,None,Severe,GREEN_E,83
26,19,19,21,51.3,71.3,58.5,47.7,S,10,Ambulance,S,High,GREEN_S,35
31,18,26,33,81.3,71,67.3,78.8,S,19,Normal,None,High,GREEN_N,57
16,25,9,16,57.7,65.4,54.9,71,N,28,Normal,None,High,GREEN_W,55
37,25,33,38,84.2,74.5,79.3,85.1,N,32,Normal,None,Severe,GREEN_W,70
6,15,4,8,33.3,39.9,46.9,29.8,S,9,Ambulance,E,Moderate,GREEN_E,35
17,13,15,20,72.5,47.3,48,66.5,S,10,Normal,None,High,GREEN_N,59
37,41,38,51,91.2,95.6,95.3,100,S,44,Normal,None,Severe,GREEN_W,59
1,8,2,1,67.1,52.3,25,12.9,N,10,Ambulance,N,Moderate,GREEN_N,35
